properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  tileset = "dungeon_brick_gray_1",
  music = "same",
}

tile{
  layer = 1,
  x = 32,
  y = 136,
  width = 112,
  height = 24,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 32,
  y = 176,
  width = 112,
  height = 32,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 136,
  y = 136,
  width = 8,
  height = 8,
  pattern = "hole.corner.2",
}

tile{
  layer = 1,
  x = 136,
  y = 176,
  width = 8,
  height = 8,
  pattern = "hole.corner.2",
}

tile{
  layer = 1,
  x = 136,
  y = 152,
  width = 8,
  height = 8,
  pattern = "hole.corner.4",
}

tile{
  layer = 1,
  x = 136,
  y = 144,
  width = 8,
  height = 8,
  pattern = "hole.4",
}

tile{
  layer = 1,
  x = 32,
  y = 192,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.3",
}

tile{
  layer = 1,
  x = 48,
  y = 192,
  width = 96,
  height = 16,
  pattern = "wall_hole.2",
}

tile{
  layer = 1,
  x = 32,
  y = 176,
  width = 16,
  height = 16,
  pattern = "wall_hole.3",
}

tile{
  layer = 1,
  x = 32,
  y = 176,
  width = 104,
  height = 8,
  pattern = "hole.1",
}

tile{
  layer = 1,
  x = 32,
  y = 136,
  width = 16,
  height = 24,
  pattern = "wall_hole.3",
}

tile{
  layer = 1,
  x = 32,
  y = 152,
  width = 104,
  height = 8,
  pattern = "hole.2",
}

tile{
  layer = 1,
  x = 32,
  y = 136,
  width = 104,
  height = 8,
  pattern = "hole.1",
}

tile{
  layer = 1,
  x = 136,
  y = 184,
  width = 8,
  height = 24,
  pattern = "hole.4",
}

dynamic_tile{
  layer = 1,
  x = 48,
  y = 160,
  width = 16,
  height = 16,
  name = "pot_2",
  pattern = "floor_pot",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 32,
  y = 160,
  width = 16,
  height = 16,
  name = "pot_1",
  pattern = "floor_pot",
  enabled_at_start = true,
}

