properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  tileset = "dungeon_brick_blue_1",
  music = "same",
}

tile{
  layer = 1,
  x = 120,
  y = 40,
  width = 8,
  height = 112,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 192,
  y = 40,
  width = 8,
  height = 112,
  pattern = "wall_border.3",
}

tile{
  layer = 1,
  x = 32,
  y = 168,
  width = 24,
  height = 16,
  pattern = "wall_low.3",
}

tile{
  layer = 1,
  x = 264,
  y = 168,
  width = 24,
  height = 16,
  pattern = "wall_low.4",
}

tile{
  layer = 1,
  x = 136,
  y = 8,
  width = 48,
  height = 112,
  pattern = "ceiling",
}

tile{
  layer = 1,
  x = 264,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2",
}

tile{
  layer = 1,
  x = 32,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1",
}

tile{
  layer = 1,
  x = 32,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3",
}

tile{
  layer = 1,
  x = 264,
  y = 184,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4",
}

tile{
  layer = 1,
  x = 56,
  y = 184,
  width = 208,
  height = 24,
  pattern = "wall_low.2",
}

tile{
  layer = 1,
  x = 56,
  y = 168,
  width = 208,
  height = 16,
  pattern = "floor.19",
}

tile{
  layer = 1,
  x = 128,
  y = 120,
  width = 64,
  height = 24,
  pattern = "wall.1",
}

tile{
  layer = 1,
  x = 168,
  y = 32,
  width = 24,
  height = 96,
  pattern = "wall.3",
}

tile{
  layer = 1,
  x = 168,
  y = 8,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 1,
  x = 168,
  y = 120,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.1",
}

tile{
  layer = 1,
  x = 128,
  y = 32,
  width = 24,
  height = 96,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 128,
  y = 8,
  width = 24,
  height = 24,
  pattern = "wall.corner.2",
}

tile{
  layer = 1,
  x = 128,
  y = 120,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.2",
}

tile{
  layer = 1,
  x = 56,
  y = 144,
  width = 208,
  height = 24,
  pattern = "wall_low.1",
}

tile{
  layer = 1,
  x = 120,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2",
}

tile{
  layer = 1,
  x = 192,
  y = 32,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1",
}

tile{
  layer = 1,
  x = 64,
  y = 144,
  width = 32,
  height = 16,
  pattern = "water_pool_ladder.1",
}

tile{
  layer = 1,
  x = 224,
  y = 144,
  width = 32,
  height = 16,
  pattern = "water_pool_ladder.1",
}

tile{
  layer = 1,
  x = 32,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 64,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 88,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 120,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 192,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 224,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 248,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 280,
  y = 136,
  width = 8,
  height = 8,
  pattern = "barrier.1.border",
}

tile{
  layer = 1,
  x = 40,
  y = 136,
  width = 24,
  height = 8,
  pattern = "barrier.3.1",
}

tile{
  layer = 1,
  x = 96,
  y = 136,
  width = 24,
  height = 8,
  pattern = "barrier.3.1",
}

tile{
  layer = 1,
  x = 200,
  y = 136,
  width = 24,
  height = 8,
  pattern = "barrier.3.1",
}

tile{
  layer = 1,
  x = 256,
  y = 136,
  width = 24,
  height = 8,
  pattern = "barrier.3.1",
}

tile{
  layer = 1,
  x = 64,
  y = 208,
  width = 32,
  height = 24,
  pattern = "wall_statue.6.2",
}

tile{
  layer = 1,
  x = 224,
  y = 208,
  width = 32,
  height = 24,
  pattern = "wall_statue.6.2",
}

tile{
  layer = 1,
  x = 152,
  y = 168,
  width = 16,
  height = 16,
  pattern = "floor_water_drain",
}

tile{
  layer = 1,
  x = 40,
  y = 152,
  width = 240,
  height = 48,
  pattern = "water.transparent",
}

tile{
  layer = 1,
  x = 72,
  y = 208,
  width = 16,
  height = 8,
  pattern = "waterfall.2.top",
}

tile{
  layer = 1,
  x = 232,
  y = 208,
  width = 16,
  height = 8,
  pattern = "waterfall.2.top",
}

tile{
  layer = 1,
  x = 64,
  y = 200,
  width = 32,
  height = 8,
  pattern = "waterfall.2.middle",
}

tile{
  layer = 1,
  x = 224,
  y = 200,
  width = 32,
  height = 8,
  pattern = "waterfall.2.middle",
}

tile{
  layer = 1,
  x = 64,
  y = 192,
  width = 32,
  height = 8,
  pattern = "waterfall.2.bottom",
}

tile{
  layer = 1,
  x = 224,
  y = 192,
  width = 32,
  height = 8,
  pattern = "waterfall.2.bottom",
}

dynamic_tile{
  layer = 1,
  x = 216,
  y = 56,
  width = 48,
  height = 48,
  name = "treasure_obstacle_canvas2_3",
  pattern = "floor_border.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 56,
  y = 56,
  width = 48,
  height = 48,
  name = "treasure_open_canvas2_3",
  pattern = "floor_border.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 64,
  y = 64,
  width = 32,
  height = 32,
  name = "treasure_open_canvas1_3",
  pattern = "floor_small.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 224,
  y = 64,
  width = 32,
  height = 32,
  name = "treasure_obstacle_canvas1_3",
  pattern = "floor_small.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 72,
  y = 72,
  width = 16,
  height = 16,
  name = "treasure_open_chest",
  pattern = "placeholder_treasure_open",
