properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  tileset = "dungeon_brick_gray_1",
  music = "same",
}

tile{
  layer = 1,
  x = 32,
  y = 32,
  width = 112,
  height = 72,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 176,
  y = 32,
  width = 112,
  height = 72,
  pattern = "hole",
}

tile{
  layer = 1,
  x = 32,
  y = 88,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.3",
}

tile{
  layer = 1,
  x = 48,
  y = 88,
  width = 96,
  height = 16,
  pattern = "wall_hole.2",
}

tile{
  layer = 1,
  x = 48,
  y = 32,
  width = 96,
  height = 16,
  pattern = "wall_hole.1",
}

tile{
  layer = 1,
  x = 32,
  y = 32,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.1",
}

tile{
  layer = 1,
  x = 32,
  y = 48,
  width = 16,
  height = 40,
  pattern = "wall_hole.3",
}

tile{
  layer = 1,
  x = 272,
  y = 32,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.2",
}

tile{
  layer = 1,
  x = 272,
  y = 48,
  width = 16,
  height = 40,
  pattern = "wall_hole.4",
}

tile{
  layer = 1,
  x = 272,
  y = 88,
  width = 16,
  height = 16,
  pattern = "wall_hole.corner.4",
}

tile{
  layer = 1,
  x = 176,
  y = 88,
  width = 96,
  height = 16,
  pattern = "wall_hole.2",
}

tile{
  layer = 1,
  x = 176,
  y = 32,
  width = 96,
  height = 16,
  pattern = "wall_hole.1",
}

tile{
  layer = 1,
  x = 72,
  y = 8,
  width = 32,
  height = 16,
  pattern = "wall_torch.1",
}

tile{
  layer = 1,
  x = 216,
  y = 8,
  width = 32,
  height = 16,
  pattern = "wall_torch.1",
}

dynamic_tile{
  layer = 1,
  x = 144,
  y = 88,
  width = 16,
  height = 16,
  name = "stone_1",
  pattern = "floor_small.4",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 160,
  y = 88,
  width = 16,
  height = 16,
  name = "stone_2",
  pattern = "floor_small.4",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 160,
  y = 56,
  width = 16,
  height = 16,
  name = "treasure_obstacle_chest",
  pattern = "floor_small.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 224,
  y = 112,
  width = 16,
  height = 16,
  name = "treasure_open_chest",
  pattern = "floor_small.2",
  enabled_at_start = true,
}

dynamic_tile{
  layer = 1,
  x = 152,
  y = 112,
  width = 16,
  height = 16,
  name = "enemy",
  pattern = "floor_small.2",
  enabled_at_start = true,
}

